epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,4734.93,0.95047,1.14474,0.93593,0.99895,0.73949,0.78846,0.7957,0.56571,0.73209,0.78846,0.77325,0.46161,0.97348,1.29377,1.04427,1.01846,0.000416,0.000416,0.000416
82,4800.02,0.98099,1.13261,0.92241,0.99415,0.79423,0.77885,0.79345,0.5724,0.76062,0.79439,0.77038,0.44195,0.94997,1.35306,1.03947,1.01806,0.0003962,0.0003962,0.0003962
83,4864.23,0.91015,1.15669,0.89927,0.98561,0.83555,0.73284,0.79776,0.56735,0.71701,0.79808,0.7547,0.44034,0.97111,1.36193,1.04562,1.02068,0.0003764,0.0003764,0.0003764
84,4929.03,0.9028,1.09366,0.88358,0.96063,0.77718,0.80769,0.80286,0.56772,0.77383,0.80769,0.76148,0.44864,0.94939,1.34158,1.06114,1.01362,0.0003566,0.0003566,0.0003566
85,4995.72,0.91635,1.1578,0.90525,0.98854,0.7792,0.81731,0.79897,0.5648,0.77001,0.80481,0.75967,0.44908,0.94861,1.32006,1.06254,1.01268,0.0003368,0.0003368,0.0003368
86,5074.81,0.88888,1.12832,0.851,0.95478,0.73347,0.80769,0.80651,0.5724,0.72562,0.75962,0.77069,0.45946,0.96791,1.31128,1.05951,1.01364,0.000317,0.000317,0.000317
87,5148.96,0.91122,1.04952,0.86605,0.9589,0.76377,0.77885,0.80485,0.57711,0.74349,0.75962,0.77184,0.46871,0.9786,1.30509,1.05732,1.01575,0.0002972,0.0002972,0.0002972
88,5223.39,0.87593,1.09425,0.83444,0.97127,0.7545,0.76832,0.79172,0.57772,0.7393,0.74038,0.77499,0.4724,0.97719,1.27352,1.05259,1.01391,0.0002774,0.0002774,0.0002774
89,5298.14,0.8718,1.14903,0.87031,0.96203,0.74442,0.79808,0.79169,0.56431,0.76209,0.75962,0.7722,0.46498,0.9814,1.27021,1.06724,1.01467,0.0002576,0.0002576,0.0002576
90,5369.85,0.88489,1.1102,0.82864,0.97199,0.75945,0.78846,0.754,0.53247,0.75246,0.77885,0.72748,0.41975,0.96905,1.30726,1.12928,1.01632,0.0002378,0.0002378,0.0002378
91,5441.28,0.88287,0.98825,0.8735,0.95154,0.65825,0.81493,0.70881,0.4838,0.63597,0.78953,0.65734,0.38143,0.98682,1.3939,1.2303,1.01689,0.000218,0.000218,0.000218
92,5517.7,0.88822,1.02885,0.84364,0.9226,0.67733,0.7872,0.70551,0.46532,0.64464,0.75005,0.6489,0.38036,1.03262,1.42255,1.26656,1.02361,0.0001982,0.0001982,0.0001982
93,5595.86,0.87243,0.99168,0.86039,0.93651,0.67174,0.79808,0.70879,0.47269,0.65789,0.77885,0.68453,0.38182,1.03986,1.42443,1.25364,1.03217,0.0001784,0.0001784,0.0001784
94,5650.71,0.86465,1.00391,0.81202,0.93423,0.68036,0.81731,0.73747,0.50416,0.65635,0.78846,0.69888,0.39372,1.00013,1.39994,1.18627,1.01519,0.0001586,0.0001586,0.0001586
95,5712.92,0.89218,1.05641,0.95,0.94958,0.745,0.76923,0.76618,0.53776,0.71117,0.75761,0.73066,0.42872,0.97154,1.37508,1.13071,1.00407,0.0001388,0.0001388,0.0001388
96,5779.38,0.86717,0.95111,0.8324,0.93157,0.76,0.76123,0.7752,0.54755,0.73437,0.74436,0.73968,0.44165,0.97492,1.37305,1.09792,1.00608,0.000119,0.000119,0.000119
97,5839.32,0.83874,1.03062,0.86697,0.9372,0.79822,0.75,0.77632,0.54943,0.73514,0.74729,0.74119,0.44266,0.97202,1.36587,1.09619,1.00444,9.92e-05,9.92e-05,9.92e-05
98,5905.92,0.83262,0.93829,0.81357,0.92559,0.76495,0.78235,0.7684,0.54701,0.73737,0.75591,0.73093,0.44712,0.98033,1.37447,1.10773,1.00612,7.94e-05,7.94e-05,7.94e-05
99,5971.76,0.78024,0.95783,0.76188,0.91616,0.74958,0.77885,0.76389,0.54176,0.74605,0.74038,0.7288,0.44588,0.97828,1.35998,1.12412,1.00799,5.96e-05,5.96e-05,5.96e-05
100,6037.5,0.90637,1.01334,0.82932,0.92253,0.73334,0.7933,0.75796,0.53047,0.70978,0.75962,0.72184,0.44003,0.98785,1.3703,1.13311,1.00993,3.98e-05,3.98e-05,3.98e-05
